persona,n_train_clients,config,cv_macro_f1_mean,cv_macro_f1_std,delta_vs_global,shrinkage_weight,shrunk_delta_vs_global,folds_beating_global,is_raw_best,selected_after_guardrails,used_global_fallback
Low-key everyday users,222,trimmed_mean_gap|grace=3|short_gate=false,0.4713674375273526,0.08900191671272972,0.003128738556946342,0.42528735632183906,0.0013306129495059156,3,False,False,False
Low-key everyday users,222,median_gap|grace=10|short_gate=true,0.4712192816061613,0.04640753867530819,0.0029805826357550136,0.42528735632183906,0.0012676041094590287,1,False,False,False
Low-key everyday users,222,median_gap|grace=7|short_gate=true,0.4712192816061613,0.04640753867530819,0.0029805826357550136,0.42528735632183906,0.0012676041094590287,1,False,False,False
Low-key everyday users,222,mean_gap|grace=10|short_gate=false,0.47077872640372637,0.07442323581608497,0.0025400274333201023,0.42528735632183906,0.0010802415521016526,2,False,False,False
Low-key everyday users,222,trimmed_mean_gap|grace=3|short_gate=true,0.4703981781448575,0.05393776126895624,0.002159479174451251,0.42528735632183906,0.00091839918913444,3,False,False,False
Low-key everyday users,222,median_gap|grace=10|short_gate=false,0.46946089732273943,0.0795848687377229,0.0012221983523331703,0.42528735632183906,0.0005197855061646816,2,False,False,False
Low-key everyday users,222,median_gap|grace=7|short_gate=false,0.46946089732273943,0.0795848687377229,0.0012221983523331703,0.42528735632183906,0.0005197855061646816,2,False,False,False
Low-key everyday users,222,median_gap|grace=5|short_gate=true,0.46823869897040626,0.04885415457002358,0.0,0.42528735632183906,0.0,0,False,False,False
Low-key everyday users,222,trimmed_mean_gap|grace=10|short_gate=true,0.4672798876667673,0.051129498342546535,-0.0009588113036389512,0.42528735632183906,-0.0004077703245361057,1,False,False,False
Low-key everyday users,222,mean_gap|grace=0|short_gate=false,0.46711108030561493,0.10456898700667872,-0.00112761866479133,0.42528735632183906,-0.0004795619608882668,3,False,False,False
Low-key everyday users,222,median_gap|grace=5|short_gate=false,0.4666419570037991,0.0820322661834281,-0.0015967419666071403,0.42528735632183906,-0.000679074169706485,1,False,False,False
Low-key everyday users,222,median_gap|grace=3|short_gate=false,0.46586135735021966,0.08975156906888511,-0.0023773416201866016,0.42528735632183906,-0.0010110533327230373,2,False,False,False
Low-key everyday users,222,median_gap|grace=3|short_gate=true,0.4646081348548142,0.05245711486230762,-0.0036305641155920387,0.42528735632183906,-0.0015440330146770738,2,False,False,False
Low-key everyday users,222,trimmed_mean_gap|grace=10|short_gate=false,0.46381444068944067,0.08529967795509755,-0.004424258280965598,0.42528735632183906,-0.0018815811079968636,2,False,False,False
Low-key everyday users,222,mean_median_blend|grace=0|short_gate=false,0.46308233466101567,0.10000271514597246,-0.005156364309390593,0.42528735632183906,-0.0021929365453730106,3,False,False,False
Low-key everyday users,222,trimmed_mean_gap|grace=0|short_gate=false,0.4623491755437101,0.11192526644803416,-0.005889523426696186,0.42528735632183906,-0.0025047398481351595,3,False,False,False
Low-key everyday users,222,mean_gap|grace=0|short_gate=true,0.4610159285159286,0.06742709948901197,-0.007222770454477667,0.42528735632183906,-0.003071752951904295,3,False,False,False
Low-key everyday users,222,mean_median_blend|grace=0|short_gate=true,0.4610159285159286,0.06742709948901197,-0.007222770454477667,0.42528735632183906,-0.003071752951904295,3,False,False,False
Low-key everyday users,222,trimmed_mean_gap|grace=0|short_gate=true,0.45625402375402374,0.07526549761902626,-0.011984675216382523,0.42528735632183906,-0.005096930839151188,3,False,False,False
Low-key everyday users,222,recent3_median_gap|grace=0|short_gate=false,0.4536626413952338,0.09964660073885317,-0.01457605757517244,0.42528735632183906,-0.006199012991740003,2,False,False,False
Low-key everyday users,222,recent3_median_gap|grace=0|short_gate=true,0.45180659919790356,0.07875694729813379,-0.016432099772502706,0.42528735632183906,-0.006988364271064369,3,False,False,False
Low-key everyday users,222,calendar_dom|grace=0|short_gate=false,0.4449954246295709,0.09494313119066505,-0.02324327434083534,0.42528735632183906,-0.009885070696677099,3,False,False,False
Low-key everyday users,222,calendar_dom|grace=3|short_gate=false,0.4449954246295709,0.09494313119066505,-0.02324327434083534,0.42528735632183906,-0.009885070696677099,3,False,False,False
Low-key everyday users,222,calendar_dom|grace=5|short_gate=false,0.4402096357058509,0.09333750575013428,-0.028029063264555343,0.42528735632183906,-0.011920406215960317,2,False,False,False
Low-key everyday users,222,calendar_dom|grace=10|short_gate=false,0.43875664425285954,0.09713147674365663,-0.029482054717546724,0.42528735632183906,-0.01253834510976125,2,False,False,False
Low-key everyday users,222,calendar_dom|grace=0|short_gate=true,0.4386530493164125,0.07076364923037054,-0.02958564965399374,0.42528735632183906,-0.01258240272641113,2,False,False,False
Low-key everyday users,222,calendar_dom|grace=3|short_gate=true,0.4386530493164125,0.07076364923037054,-0.02958564965399374,0.42528735632183906,-0.01258240272641113,2,False,False,False
Low-key everyday users,222,calendar_dom|grace=7|short_gate=false,0.4384788664750817,0.09670353119097415,-0.029759832495324545,0.42528735632183906,-0.012656480486517335,2,False,False,False
Low-key everyday users,222,median_gap|grace=0|short_gate=false,0.434012487627433,0.10433156542946141,-0.03422621134297327,0.42528735632183906,-0.014555974938965642,2,False,False,False
Low-key everyday users,222,calendar_dom|grace=5|short_gate=true,0.43392089619123275,0.06700989451693491,-0.03431780277917351,0.42528735632183906,-0.014594927618728964,1,False,False,False
Low-key everyday users,222,calendar_dom|grace=7|short_gate=true,0.43392089619123275,0.06700989451693491,-0.03431780277917351,0.42528735632183906,-0.014594927618728964,1,False,False,False
Low-key everyday users,222,calendar_dom|grace=10|short_gate=true,0.43320268260299144,0.06405619261288417,-0.035036016367414824,0.42528735632183906,-0.014900374776946534,1,False,False,False
Low-key everyday users,222,median_gap|grace=0|short_gate=true,0.42922362661493096,0.07890221675546487,-0.0390150723554753,0.42528735632183906,-0.016592616978765358,2,False,False,False
Subscription regulars,586,recent3_median_gap|grace=10|short_gate=true,0.46488053842430793,0.009616674333231314,0.004320995188962062,0.6613995485327314,0.0028579042671916127,4,True,False,True
Subscription regulars,586,recent3_median_gap|grace=7|short_gate=true,0.46426345434575167,0.013192862008915496,0.0037039111104058,0.6613995485327314,0.002449765136227764,4,False,False,True
Subscription regulars,586,median_gap|grace=10|short_gate=true,0.461616976136348,0.013483580244819899,0.001057432901002131,0.6613995485327314,0.000699385643326466,3,False,False,True
Subscription regulars,586,recent3_median_gap|grace=5|short_gate=true,0.4615355843208816,0.014642319348487282,0.0009760410855357282,0.6613995485327314,0.0006455531333227277,3,False,False,True
