iteration,persona,cadence,grace_days,short_gate,mean_fold_delta,positive_folds,selected
2,Quiet / no detected cycle,mean_gap,5,True,0.0,0,
2,Quiet / no detected cycle,mean_gap,5,False,0.0,0,
2,Quiet / no detected cycle,mean_gap,7,True,0.0,0,
2,Quiet / no detected cycle,mean_gap,7,False,0.0,0,
2,Quiet / no detected cycle,mean_gap,10,True,0.0,0,
2,Quiet / no detected cycle,mean_gap,10,False,0.0,0,
2,Quiet / no detected cycle,trimmed_mean_gap,0,True,0.0,0,
2,Quiet / no detected cycle,trimmed_mean_gap,0,False,0.0,0,
2,Quiet / no detected cycle,trimmed_mean_gap,3,True,0.0,0,
2,Quiet / no detected cycle,trimmed_mean_gap,3,False,0.0,0,
2,Quiet / no detected cycle,trimmed_mean_gap,5,True,0.0,0,
2,Quiet / no detected cycle,trimmed_mean_gap,5,False,0.0,0,
2,Quiet / no detected cycle,trimmed_mean_gap,7,True,0.0,0,
2,Quiet / no detected cycle,trimmed_mean_gap,7,False,0.0,0,
2,Quiet / no detected cycle,trimmed_mean_gap,10,True,0.0,0,
2,Quiet / no detected cycle,trimmed_mean_gap,10,False,0.0,0,
2,Quiet / no detected cycle,recent3_median_gap,0,True,0.0,0,
2,Quiet / no detected cycle,recent3_median_gap,0,False,0.0,0,
2,Quiet / no detected cycle,recent3_median_gap,3,True,0.0,0,
2,Quiet / no detected cycle,recent3_median_gap,3,False,0.0,0,
2,Quiet / no detected cycle,recent3_median_gap,5,True,0.0,0,
2,Quiet / no detected cycle,recent3_median_gap,5,False,0.0,0,
2,Quiet / no detected cycle,recent3_median_gap,7,True,0.0,0,
2,Quiet / no detected cycle,recent3_median_gap,7,False,0.0,0,
2,Quiet / no detected cycle,recent3_median_gap,10,True,0.0,0,
2,Quiet / no detected cycle,recent3_median_gap,10,False,0.0,0,
2,Quiet / no detected cycle,calendar_dom,0,True,0.0,0,
2,Quiet / no detected cycle,calendar_dom,0,False,0.0,0,
2,Quiet / no detected cycle,calendar_dom,3,True,0.0,0,
2,Quiet / no detected cycle,calendar_dom,3,False,0.0,0,
2,Quiet / no detected cycle,calendar_dom,5,True,0.0,0,
2,Quiet / no detected cycle,calendar_dom,5,False,0.0,0,
2,Quiet / no detected cycle,calendar_dom,7,True,0.0,0,
2,Quiet / no detected cycle,calendar_dom,7,False,0.0,0,
2,Quiet / no detected cycle,calendar_dom,10,True,0.0,0,
2,Quiet / no detected cycle,calendar_dom,10,False,0.0,0,
2,Quiet / no detected cycle,median_gap,5,True,0.0,0,True
2,Short or lapsed explorer,median_gap,0,True,-0.001271915163563464,1,
2,Short or lapsed explorer,median_gap,0,False,-0.0014703877006831845,2,
2,Short or lapsed explorer,median_gap,3,True,-0.0007131931533729486,2,
2,Short or lapsed explorer,median_gap,3,False,0.0,0,
2,Short or lapsed explorer,median_gap,5,True,-0.0007047370811724019,2,
2,Short or lapsed explorer,median_gap,5,False,-0.0009706779024141188,1,
2,Short or lapsed explorer,median_gap,7,True,-0.0017246960696207902,2,
2,Short or lapsed explorer,median_gap,7,False,-0.00231715067548528,1,
2,Short or lapsed explorer,median_gap,10,True,-0.0030584634509374766,2,
2,Short or lapsed explorer,median_gap,10,False,-0.0055679661304675054,0,
2,Short or lapsed explorer,mean_gap,0,True,-0.0018277968222783047,2,
2,Short or lapsed explorer,mean_gap,0,False,-0.002959988531073221,1,
2,Short or lapsed explorer,mean_gap,3,True,-0.0016679392386979909,2,
2,Short or lapsed explorer,mean_gap,3,False,-0.0019145579107700428,0,
2,Short or lapsed explorer,mean_gap,5,True,-0.00136223582574857,2,
2,Short or lapsed explorer,mean_gap,5,False,-0.0023281874584703656,0,
2,Short or lapsed explorer,mean_gap,7,True,-0.0034747688277271373,2,
2,Short or lapsed explorer,mean_gap,7,False,-0.00473687705251793,0,
2,Short or lapsed explorer,mean_gap,10,True,-0.0050822486902924345,1,
2,Short or lapsed explorer,mean_gap,10,False,-0.00822609267769897,0,
2,Short or lapsed explorer,trimmed_mean_gap,0,True,-0.001220115111903497,2,
2,Short or lapsed explorer,trimmed_mean_gap,0,False,-0.0023580649651908535,2,
